doc_key,level,scope,feature_name,z_plan,output_path,evidence_gathered,generated,self_check_passed,reviewed,batch_id,run_date,notes
business_features::defgdgb-jcl,1,feature:DEFGDGB.jcl,DEFGDGB.jcl,z-business,L1-business-context/business-features/defgdgb-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::defgdgd-jcl,1,feature:DEFGDGD.jcl,DEFGDGD.jcl,z-business,L1-business-context/business-features/defgdgd-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::discgrp-jcl,1,feature:DISCGRP.jcl,DISCGRP.jcl,z-business,L1-business-context/business-features/discgrp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::dusrsecj-jcl,1,feature:DUSRSECJ.jcl,DUSRSECJ.jcl,z-business,L1-business-context/business-features/dusrsecj-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::esdsrrds-jcl,1,feature:ESDSRRDS.jcl,ESDSRRDS.jcl,z-business,L1-business-context/business-features/esdsrrds-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::ftpjcl-jcl,1,feature:FTPJCL.JCL,FTPJCL.JCL,z-business,L1-business-context/business-features/ftpjcl-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::imsmqcmp-jcl,1,feature:IMSMQCMP.jcl,IMSMQCMP.jcl,z-business,L1-business-context/business-features/imsmqcmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::intcalc-jcl,1,feature:INTCALC.jcl,INTCALC.jcl,z-business,L1-business-context/business-features/intcalc-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::intrdrj1-jcl,1,feature:INTRDRJ1.JCL,INTRDRJ1.JCL,z-business,L1-business-context/business-features/intrdrj1-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::intrdrj2-jcl,1,feature:INTRDRJ2.JCL,INTRDRJ2.JCL,z-business,L1-business-context/business-features/intrdrj2-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::listcat-jcl,1,feature:LISTCAT.jcl,LISTCAT.jcl,z-business,L1-business-context/business-features/listcat-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::loadpadb-jcl,1,feature:LOADPADB.JCL,LOADPADB.JCL,z-business,L1-business-context/business-features/loadpadb-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::mnttrdb2-jcl,1,feature:MNTTRDB2.jcl,MNTTRDB2.jcl,z-business,L1-business-context/business-features/mnttrdb2-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::openfil-jcl,1,feature:OPENFIL.jcl,OPENFIL.jcl,z-business,L1-business-context/business-features/openfil-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::posttran-jcl,1,feature:POSTTRAN.jcl,POSTTRAN.jcl,z-business,L1-business-context/business-features/posttran-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::prtcatbl-jcl,1,feature:PRTCATBL.jcl,PRTCATBL.jcl,z-business,L1-business-context/business-features/prtcatbl-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::racfcmds-jcl,1,feature:RACFCMDS.jcl,RACFCMDS.jcl,z-business,L1-business-context/business-features/racfcmds-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::readacct-jcl,1,feature:READACCT.jcl,READACCT.jcl,z-business,L1-business-context/business-features/readacct-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::readcard-jcl,1,feature:READCARD.jcl,READCARD.jcl,z-business,L1-business-context/business-features/readcard-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::readcust-jcl,1,feature:READCUST.jcl,READCUST.jcl,z-business,L1-business-context/business-features/readcust-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::readxref-jcl,1,feature:READXREF.jcl,READXREF.jcl,z-business,L1-business-context/business-features/readxref-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::reproc-prc,1,feature:REPROC.prc,REPROC.prc,z-business,L1-business-context/business-features/reproc-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::reprtest-jcl,1,feature:REPRTEST.jcl,REPRTEST.jcl,z-business,L1-business-context/business-features/reprtest-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::reptfile-jcl,1,feature:REPTFILE.jcl,REPTFILE.jcl,z-business,L1-business-context/business-features/reptfile-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::sorttest-jcl,1,feature:SORTTEST.jcl,SORTTEST.jcl,z-business,L1-business-context/business-features/sorttest-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::synpays,1,feature:SYNPAYS,SYNPAYS,z-business,L1-business-context/business-features/synpays.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::tcatbalf-jcl,1,feature:TCATBALF.jcl,TCATBALF.jcl,z-business,L1-business-context/business-features/tcatbalf-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::tranbkp-jcl,1,feature:TRANBKP.jcl,TRANBKP.jcl,z-business,L1-business-context/business-features/tranbkp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::trancatg-jcl,1,feature:TRANCATG.jcl,TRANCATG.jcl,z-business,L1-business-context/business-features/trancatg-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::tranextr-jcl,1,feature:TRANEXTR.jcl,TRANEXTR.jcl,z-business,L1-business-context/business-features/tranextr-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::tranfile-jcl,1,feature:TRANFILE.jcl,TRANFILE.jcl,z-business,L1-business-context/business-features/tranfile-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::tranidx-jcl,1,feature:TRANIDX.jcl,TRANIDX.jcl,z-business,L1-business-context/business-features/tranidx-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::tranrept-jcl,1,feature:TRANREPT.jcl,TRANREPT.jcl,z-business,L1-business-context/business-features/tranrept-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::tranrept-prc,1,feature:TRANREPT.prc,TRANREPT.prc,z-business,L1-business-context/business-features/tranrept-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::trantype-jcl,1,feature:TRANTYPE.jcl,TRANTYPE.jcl,z-business,L1-business-context/business-features/trantype-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::txt2pdf1-jcl,1,feature:TXT2PDF1.JCL,TXT2PDF1.JCL,z-business,L1-business-context/business-features/txt2pdf1-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::ungrouped-programs,1,feature:Ungrouped Programs,Ungrouped Programs,z-business,L1-business-context/business-features/ungrouped-programs.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::unldgsam-jcl,1,feature:UNLDGSAM.JCL,UNLDGSAM.JCL,z-business,L1-business-context/business-features/unldgsam-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::unldpadb-jcl,1,feature:UNLDPADB.JCL,UNLDPADB.JCL,z-business,L1-business-context/business-features/unldpadb-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::waitstep-jcl,1,feature:WAITSTEP.jcl,WAITSTEP.jcl,z-business,L1-business-context/business-features/waitstep-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::xreffile-jcl,1,feature:XREFFILE.jcl,XREFFILE.jcl,z-business,L1-business-context/business-features/xreffile-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
executive_summary,1,application,—,z-discovery,L1-business-context/executive-summary.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 9 unavailable, family A-output-structure"
stakeholder_analysis,1,application,—,z-business,L1-business-context/stakeholder-analysis.md,Y,Y,Y,N,batch-1,2026-08-25,"1 grounded, 1 unavailable, family A-output-structure"
business_process,2,application,—,z-business,L2-business-documentation/business-process.md,Y,Y,Y,N,batch-1,2026-08-25,"1 grounded, 6 unavailable, family B-bold"
business_requirements,2,application,—,z-business,L2-business-documentation/business-requirements.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 7 unavailable, family B-bold"
business_rules::acctfile-jcl,2,feature:ACCTFILE.jcl,ACCTFILE.jcl,z-module,L2-business-documentation/business-rules/acctfile-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::batcmp-jcl,2,feature:BATCMP.jcl,BATCMP.jcl,z-module,L2-business-documentation/business-rules/batcmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::bldcidb2-prc,2,feature:BLDCIDB2.prc,BLDCIDB2.prc,z-module,L2-business-documentation/business-rules/bldcidb2-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::bmscmp-jcl,2,feature:BMSCMP.jcl,BMSCMP.jcl,z-module,L2-business-documentation/business-rules/bmscmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::buildbat-prc,2,feature:BUILDBAT.prc,BUILDBAT.prc,z-module,L2-business-documentation/business-rules/buildbat-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::buildbms-prc,2,feature:BUILDBMS.prc,BUILDBMS.prc,z-module,L2-business-documentation/business-rules/buildbms-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::buildonl-prc,2,feature:BUILDONL.prc,BUILDONL.prc,z-module,L2-business-documentation/business-rules/buildonl-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cardfile-jcl,2,feature:CARDFILE.jcl,CARDFILE.jcl,z-module,L2-business-documentation/business-rules/cardfile-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cbadmcdj-jcl,2,feature:CBADMCDJ.jcl,CBADMCDJ.jcl,z-module,L2-business-documentation/business-rules/cbadmcdj-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cbexport-jcl,2,feature:CBEXPORT.jcl,CBEXPORT.jcl,z-module,L2-business-documentation/business-rules/cbexport-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"1 grounded, 5 unavailable, family B-bold"
business_rules::cbimport-jcl,2,feature:CBIMPORT.jcl,CBIMPORT.jcl,z-module,L2-business-documentation/business-rules/cbimport-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"1 grounded, 5 unavailable, family B-bold"
business_rules::cbpaup0j-jcl,2,feature:CBPAUP0J.jcl,CBPAUP0J.jcl,z-module,L2-business-documentation/business-rules/cbpaup0j-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::ciccmp-jcl,2,feature:CICCMP.jcl,CICCMP.jcl,z-module,L2-business-documentation/business-rules/ciccmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cicdbcmp-jcl,2,feature:CICDBCMP.jcl,CICDBCMP.jcl,z-module,L2-business-documentation/business-rules/cicdbcmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::closefil-jcl,2,feature:CLOSEFIL.jcl,CLOSEFIL.jcl,z-module,L2-business-documentation/business-rules/closefil-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::coactup,2,feature:COACTUP,COACTUP,z-module,L2-business-documentation/business-rules/coactup.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::coactvw,2,feature:COACTVW,COACTVW,z-module,L2-business-documentation/business-rules/coactvw.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::coadm01,2,feature:COADM01,COADM01,z-module,L2-business-documentation/business-rules/coadm01.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cobil00,2,feature:COBIL00,COBIL00,z-module,L2-business-documentation/business-rules/cobil00.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cocrdli,2,feature:COCRDLI,COCRDLI,z-module,L2-business-documentation/business-rules/cocrdli.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cocrdsl,2,feature:COCRDSL,COCRDSL,z-module,L2-business-documentation/business-rules/cocrdsl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cocrdup,2,feature:COCRDUP,COCRDUP,z-module,L2-business-documentation/business-rules/cocrdup.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::combtran-jcl,2,feature:COMBTRAN.jcl,COMBTRAN.jcl,z-module,L2-business-documentation/business-rules/combtran-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::comen01,2,feature:COMEN01,COMEN01,z-module,L2-business-documentation/business-rules/comen01.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::copau00,2,feature:COPAU00,COPAU00,z-module,L2-business-documentation/business-rules/copau00.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::copau01,2,feature:COPAU01,COPAU01,z-module,L2-business-documentation/business-rules/copau01.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::corpt00,2,feature:CORPT00,CORPT00,z-module,L2-business-documentation/business-rules/corpt00.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cosgn00,2,feature:COSGN00,COSGN00,z-module,L2-business-documentation/business-rules/cosgn00.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cotrn00,2,feature:COTRN00,COTRN00,z-module,L2-business-documentation/business-rules/cotrn00.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cotrn01,2,feature:COTRN01,COTRN01,z-module,L2-business-documentation/business-rules/cotrn01.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cotrn02,2,feature:COTRN02,COTRN02,z-module,L2-business-documentation/business-rules/cotrn02.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cotrtli,2,feature:COTRTLI,COTRTLI,z-module,L2-business-documentation/business-rules/cotrtli.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cotrtup,2,feature:COTRTUP,COTRTUP,z-module,L2-business-documentation/business-rules/cotrtup.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cousr00,2,feature:COUSR00,COUSR00,z-module,L2-business-documentation/business-rules/cousr00.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cousr01,2,feature:COUSR01,COUSR01,z-module,L2-business-documentation/business-rules/cousr01.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cousr02,2,feature:COUSR02,COUSR02,z-module,L2-business-documentation/business-rules/cousr02.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::cousr03,2,feature:COUSR03,COUSR03,z-module,L2-business-documentation/business-rules/cousr03.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::creadb21-jcl,2,feature:CREADB21.jcl,CREADB21.jcl,z-module,L2-business-documentation/business-rules/creadb21-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"0 grounded, 6 unavailable, family B-bold"
business_rules::creastmt-jcl,2,feature:CREASTMT.JCL,CREASTMT.JCL,z-module,L2-business-documentation/business-rules/creastmt-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"1 grounded, 5 unavailable, family B-bold"
